dataset	popname	contin	complex	latit	longit	coord	locus	allele_v2	allele_v3	allele.freq	allele.count	gametes
lit	Korean_1999	NEA	3	37.00N	127.30E	37.00N 127.30E	DRB1	1302	13:02	0.11001	111	1009
lit	Gabes_2006	NAF	2	34N	10E	34N 10E	DRB1	1311	13:11	0.00526	1	190
lit	Iranian_2001	SWA	2	32.00N	53.00E	32.00N 53.00E	DRB1	1305	13:05	0.015	3	200
lit	Gabes_2006	NAF	2	34N	10E	34N 10E	DRB1	0405	04:05	0.01579	3	190
lit	Matmata_2006	NAF	2	34N	10E	34N 10E	DRB1	0403	04:03	0.03704	6	162
lit	IndonesiaSingapore_2000	OCE	2	1.28N	103.85E	1.28N 103.85E	DRB1	0301	03:01	0.03	3	100
lit	Slavic_1999	EUR	3	059.83N	030.25E	059.83N 030.25E	DRB1	0402	04:02	0.005	2	400
lit	Cretan_1999	EUR	3	37.80N	22.72E	37.80N 22.72E	DQB1	0605	06:05	0.0037	1	270
lit	Slavic_1999	EUR	3	059.83N	030.25E	059.83N 030.25E	DQB1	0603	06:03	0.06	12	200
lit	Tunisia_1995	NAF	3	34.00N	9.00E	34.00N 9.00E	DQB1	0603	06:03	0.02475	5	202
lit	Negidal_2002	NEA	1	60.00N	100.00E	60.00N 100.00E	DQB1	0602	06:02	0.04286	3	70
lit	Nganasan_2004	NEA	1	69.26N	88.05E	69.26N 88.05E	DQB1	0602	06:02	0.04167	2	48
lit	OkhotskEvenki_2002	NEA	1	60.00N	100.00E	60.00N 100.00E	DQB1	0602	06:02	0.08	4	50
lit	Tofalar_2002	NEA	1	60.00N	100.00E	60.00N 100.00E	DQB1	0602	06:02	0.13953	12	86
lit	Tuva_2002	NEA	1	60.00N	100.00E	60.00N 100.00E	DQB1	0602	06:02	0.10227	9	88
lit	EasternToba_1993	SAM	1	34.00S	64.00W	34.00S 64.00W	DQB1	0602	06:02	0.0037	1	270
lit	Baloch_2004	SWA	2	30.50N	66.50E	30.50N 66.50E	DQB1	0601	06:01	0.08	16	200
lit	Caucasian_1994	EUR	3mig	50N	15E	50N 15E	DQB1	0303	03:03	0.05858	28	478
lit	CEPH_1992	EUR	3mig	48.87N	2.33E	48.87N 2.33E	DQA1	0501	05:01	0.22556	60	266
lit	Caucasian_1994	EUR	3mig	50N	15E	50N 15E	DQA1	0301	03:01	0.18125	87	480
lit	CEPH_1992	EUR	3mig	48.87N	2.33E	48.87N 2.33E	DQA1	0301	03:01	0.21429	57	266
lit	Greek_1995	EUR	3	39.00N	22.00E	39.00N 22.00E	DQA1	0301	03:01	0.05319	5	94
lit	Swedish_1994	EUR	3	62.00N	15.00E	62.00N 15.00E	DPB1	1601/0801	16:01/08:01	0.00865	3	347
lit	English_1991	EUR	3	54N	2W	54N 2W	DPB1	1101	11:01	0.03571	3	84
lit	Swedish_1994	EUR	3	62.00N	15.00E	62.00N 15.00E	DPB1	1501	15:01	0.00288	1	347
lit	Japanese_1999	NEA	3	35.00N	137.25E	35.00N 137.25E	DPB1	0601	06:01	0.01961	2	102
lit	USCaucasian_1992	EUR	3mig	38N	97W	38N 97W	DPB1	0601	06:01	0.0125	3	240
